videoID
"i-mpN8fP-2o	"
"IqvOrz5Kp4A	"
"YmUZEwRuUgQ	"
"O8UXtrPWQvQ	"
"UvylzAc-YTM	"
"ZuWB3nxoeL4	"
"kUlq4020EgI	"
"GG2wXQ0dm7c	"
"_lKvM2-4NVs	"
"29U58ruRojk	"
"M_81bBoDkP8	"
"oxuv7d3HmkQ	"
"cVFh1wlhbNM	"
"0r98TwvkDF0	"
"qlDtZxWwT-Q	"
"Y1AA38XxVbA	"
"9V2ZX_9qJMM	"
"En3yhHiCMLQ	"
"IP6a0_O4dg0	"
"wu3BGbeU4Gs	"
"DIEgpmRj1ns	"
"VkVabyb8DF4	"
"WuF77wWFxpA	"
"71a0yW0AhDk	"
"7jnaG_UaXY0	"
"757hbd-uNcs	"
"T-YdsucT9hc	"
"W_d4ltIlV3s	"
"SWcA07BxTDQ	"
"EsERXPhJ7YY	"
"Xh2S92L4GFQ	"
"hvYdA0FUXcs	"
"52pCsC5Tv34	"
"0xHrh8pXlqE	"
"OMaeIOdYz9U	"
"TgMw_0v261k	"
"1wLcoTcrcX0	"
"W5G7ka_Tsio	"
"k4S7bgClvA0	"
"hINagrKB-ok	"
"2W-52_LKA7U	"
"r6h-wF-ooVw	"
"K1ksZFnyzdM	"
"3AIbqdI3XwQ	"
"UNXJkeYoCus	"
"Jot5US_GCt0	"
"mWsWhGZQPhM	"
"krYl0kr2FAE	"
"6WiiK_yZoYw	"
"CwpVE1cMiUE	"
"ts5uujRgMBg	"
"8rsmgXL51OY	"
"-21084udkQ4	"
"7VOIBksmjdY	"
"bJB48H7mPMM	"
"P62rrksVx_M	"
"7q4KjTTf1yE	"
"QLWiidZ1NLY	"
"kvCSq_VLTVY	"
"iA6ZKzwaHvg	"
"H0GL3DyJqjo	"
"t8D_HQ0-9z4	"
"_bGyHwP1wSQ	"
"D9TfxLXfkO8	"
"vj9YEM-qmDw	"
"1a3tcV7uo_k	"
"yXRha_QO4lI	"
"5_BsNlK_b7s	"
"fS8h7ggn1m8	"
"uBOAthm8-OI	"
"ecMGqnawj3I	"
"BkLNZP0AaZo	"
"cFNwq3OaD70	"
"zNsJO9OSIMA	"
"UJLZEwVCDbs	"
"NVnzgVSXFzY	"
"bunTBuIWmUU	"
"DfZpwAfdIyY	"
"VEkTkdaRBFo	"
"7XbjAur4b_I	"
"TcjK6MLtTvw	"
"1ln1UhQGyR8	"
"TnTJSNp2OTw	"
"MH0mgLtdFn8	"
"xa2PhhxRy40	"
"b53MNVwJWWw	"
"I9IFuwHJNKY	"
"D2pglnJZ0WM	"
"bZnBL2dFgyI	"
"U0uOX9InTwY	"
"Db4B9UlHIpM	"
"VNO7foc7UAQ	"
"SWCYrhgBnb4	"
"65TbPkOpmNE	"
"LXo_nVdUyq8	"
"ub1rr-1cW2Q	"
"VnmtjV7dbWc	"
"XbXylkKKz24	"
"BLZiFcN8jwo	"
"mH-v1AFA1X8	"
"Sk0M4q9A2-U	"
"aO4pbyHESp4	"
"8Rmsx788oaQ	"
"b59FnEjZvpM	"
"_rJhYIEKT2I	"
"4U9q_cUR_GU	"
"DZvuiiPKWRg	"
"YVYJBse_nv0	"
"J_wIIF3yb58	"
"bXxmScllBQg	"
"kQO3LlHKgUI	"
"Oi5sumZ_5aw	"
"1yDnidSdZm8	"
"gWPi8JYCBAc	"
"DTuHvPl8W7c	"
"NZpKq8ZdY0Q	"
"p2z4ZmcJtPY	"
"nESXojHNMpM	"
"l_Oie1ZFvFE	"
"D7JTK_TaxTA	"
"8NbgaWSDvFk	"
"Fn-XFF4SUII	"
"6fQLGKyA_oM	"
"hYQHUDHqML8	"
"2yk5qxVyxoQ	"
"TaJA9f7rfgY	"
"9yUzgIFfsCo	"
"rv_DET1nebk	"
"EPxV1DPvYiM	"
"2nzWjamLiFc	"
"sPLH4-IZE1Y	"
"dHrd1yPIX30	"
"sL47hKUliRQ	"
"g08YuoLkuWY	"
"CKhwwT25678	"
"kHOE2VEjEDE	"
"Pm-nf3Z2694	"
"rqAwhax5HFE	"
"_2-txcI9hxU	"
"HMdBTgC0yWw	"
"siwD29k4tRk	"
"5Y615K9LYzw	"
"tNiqWjDAm8M	"
"o-ZHfTIcaeM	"
"8ohAVvlpA9g	"
"Loyz6OEvL6c	"
"1djEQfXXdCo	"
"ZrYBKBCzJDs	"
"gdac4Ms3pHw	"
"f9E7cr-qucc	"
"FC_hadRXZB0	"
"dQ3VqG4NSAA	"
"1a3OHDAHZZ8	"
"2w5jCtt6AVE	"
"Uqq7ciIb3NY	"
"Rc5Psd5376s	"
"pJvkGP1_pac	"
"o9UhhcV16Zs	"
